@relation BasicMotions_channel_3

@attribute channel_3_0 numeric
@attribute channel_3_1 numeric
@attribute channel_3_2 numeric
@attribute channel_3_3 numeric
@attribute channel_3_4 numeric
@attribute channel_3_5 numeric
@attribute channel_3_6 numeric
@attribute channel_3_7 numeric
@attribute channel_3_8 numeric
@attribute channel_3_9 numeric
@attribute channel_3_10 numeric
@attribute channel_3_11 numeric
@attribute channel_3_12 numeric
@attribute channel_3_13 numeric
@attribute channel_3_14 numeric
@attribute channel_3_15 numeric
@attribute channel_3_16 numeric
@attribute channel_3_17 numeric
@attribute channel_3_18 numeric
@attribute channel_3_19 numeric
@attribute channel_3_20 numeric
@attribute channel_3_21 numeric
@attribute channel_3_22 numeric
@attribute channel_3_23 numeric
@attribute channel_3_24 numeric
@attribute channel_3_25 numeric
@attribute channel_3_26 numeric
@attribute channel_3_27 numeric
@attribute channel_3_28 numeric
@attribute channel_3_29 numeric
@attribute channel_3_30 numeric
@attribute channel_3_31 numeric
@attribute channel_3_32 numeric
@attribute channel_3_33 numeric
@attribute channel_3_34 numeric
@attribute channel_3_35 numeric
@attribute channel_3_36 numeric
@attribute channel_3_37 numeric
@attribute channel_3_38 numeric
@attribute channel_3_39 numeric
@attribute channel_3_40 numeric
@attribute channel_3_41 numeric
@attribute channel_3_42 numeric
@attribute channel_3_43 numeric
@attribute channel_3_44 numeric
@attribute channel_3_45 numeric
@attribute channel_3_46 numeric
@attribute channel_3_47 numeric
@attribute channel_3_48 numeric
@attribute channel_3_49 numeric
@attribute channel_3_50 numeric
@attribute channel_3_51 numeric
@attribute channel_3_52 numeric
@attribute channel_3_53 numeric
@attribute channel_3_54 numeric
@attribute channel_3_55 numeric
@attribute channel_3_56 numeric
@attribute channel_3_57 numeric
@attribute channel_3_58 numeric
@attribute channel_3_59 numeric
@attribute channel_3_60 numeric
@attribute channel_3_61 numeric
@attribute channel_3_62 numeric
@attribute channel_3_63 numeric
@attribute channel_3_64 numeric
@attribute channel_3_65 numeric
@attribute channel_3_66 numeric
@attribute channel_3_67 numeric
@attribute channel_3_68 numeric
@attribute channel_3_69 numeric
@attribute channel_3_70 numeric
@attribute channel_3_71 numeric
@attribute channel_3_72 numeric
@attribute channel_3_73 numeric
@attribute channel_3_74 numeric
@attribute channel_3_75 numeric
@attribute channel_3_76 numeric
@attribute channel_3_77 numeric
@attribute channel_3_78 numeric
@attribute channel_3_79 numeric
@attribute channel_3_80 numeric
@attribute channel_3_81 numeric
@attribute channel_3_82 numeric
@attribute channel_3_83 numeric
@attribute channel_3_84 numeric
@attribute channel_3_85 numeric
@attribute channel_3_86 numeric
@attribute channel_3_87 numeric
@attribute channel_3_88 numeric
@attribute channel_3_89 numeric
@attribute channel_3_90 numeric
@attribute channel_3_91 numeric
@attribute channel_3_92 numeric
@attribute channel_3_93 numeric
@attribute channel_3_94 numeric
@attribute channel_3_95 numeric
@attribute channel_3_96 numeric
@attribute channel_3_97 numeric
@attribute channel_3_98 numeric
@attribute channel_3_99 numeric
@attribute activity {Standing,Running,Walking,Badminton}

@data
0.351565,0.351565,-0.095881,1.624657,1.187864,1.004091,0.340912,-0.311615,-0.348902,-0.348902,-0.226387,-0.101208,-0.00799,0.039951,0.039951,0.351565,0.378199,0.079901,0.02397,-0.194426,-0.189099,-0.162466,-0.087891,-0.25302,-0.135832,-0.018644,0.063921,0.26101,0.159802,-0.021307,-0.21307,-0.082565,-0.047941,-0.021307,-0.029297,0.026634,0.189099,0.119852,0.095881,0.077238,0.109198,0.053267,-0.002663,0.101208,0.021307,0.021307,0.063921,0.063921,0.359555,0.386189,0.19709,-0.540665,-0.239704,-0.306288,-0.085228,-0.093218,0.00799,0.063921,-0.034624,-0.146486,-0.141159,-0.117188,-0.125179,0.183773,0.311615,0.079901,0.154476,0,-0.396843,-0.439456,-0.439456,-0.034624,0.308951,0.308951,-0.22106,-0.149149,-0.165129,0.178446,0.189099,0.191763,0.194426,-0.039951,-0.026634,0.045277,0.045277,0.013317,0.005327,0.061258,-0.042614,-0.077238,-0.018644,0.013317,0.010653,0.037287,0,0.039951,-0.029297,0,0,-0.00799,Standing
-0.103872,-0.103872,-7.593275,-5.345389,-2.743274,0.990775,-0.692477,-0.692477,0,-0.074574,0.039951,-0.037287,-0.133169,0.018644,0.018644,-0.167792,-0.167792,-0.114525,-0.093218,-0.753734,0.287644,0.364882,0.218397,-0.103872,0.103872,-0.069248,-0.103872,-0.01598,0.026634,0.047941,0.077238,0.19709,0.133169,-0.029297,0.005327,0.005327,-0.026634,0.002663,0.002663,0.00799,0.00799,0.095881,0.095881,0.00799,0.039951,-0.055931,-0.085228,-0.071911,-0.055931,-0.01598,-0.010653,0.085228,0.045277,0.058594,0.02397,0.037287,-0.037287,-0.03196,-0.013317,0.026634,0.063921,0.109198,0.010653,0.063921,-0.01598,-0.093218,-0.101208,-0.101208,-0.010653,-0.010653,0.069248,0.069248,0.047941,0.098545,0.037287,0.037287,-0.047941,-0.029297,-0.021307,-0.034624,0,0.063921,0.077238,0.039951,0.034624,0.042614,-0.018644,-0.03196,-0.053267,0.002663,0.013317,0.021307,0.037287,-0.018644,-0.01598,-0.01598,-0.018644,-0.018644,-0.00799,-0.00799,Standing
0.021307,0.021307,-0.372872,0.02397,0.066584,0.210406,0.210406,0.178446,-0.042614,-0.053267,-0.063921,-0.087891,0.143822,0.143822,0.356892,0.061258,0.367545,0.410159,-0.018644,0.22106,0.013317,-0.67117,-0.061258,-0.362219,-0.263674,0.330258,-0.103872,0.202416,0.029297,-0.002663,-0.053267,-0.021307,-0.186436,-0.19709,-0.159802,-0.125179,0.287644,0.287644,0.189099,0.186436,0.170456,0.098545,0.098545,0.026634,0.026634,-0.037287,0.093218,0.119852,0.119852,0.173119,0.263674,0.263674,0.282318,-0.010653,-0.22905,-0.412823,-0.684487,-0.359555,-0.199753,-0.300961,-0.053267,0.061258,0.23704,0.370209,-0.029297,-0.005327,-0.372872,-0.556645,-0.556645,-0.716447,-0.43413,-0.058594,0.125179,0.4581,0.255684,0.583279,0.324931,0.324931,0.319605,0.178446,-0.125179,-0.181109,-0.22106,-0.22106,-0.23704,-0.03196,0.093218,0.055931,0.03196,0.013317,0.021307,0.037287,-0.018644,-0.125179,-0.255684,-0.292971,0.095881,0.279654,0.159802,0.159802,Standing
-0.314278,-0.314278,0.018644,-0.01598,0.050604,-0.269001,-0.269001,0.23704,-0.266337,0.146486,0.186436,0.186436,0.316941,0.071911,0.087891,0,-0.026634,-0.165129,0.02397,0,-0.087891,0.039951,0.039951,0.151812,0.071911,0.231713,0.308951,0.066584,0.111862,-0.01598,0.002663,-0.034624,-0.01598,-0.01598,0.058594,0.210406,0.210406,0.061258,0.061258,-0.029297,-0.029297,0.146486,0.146486,-0.087891,-0.101208,-0.109198,-0.295634,-0.095881,-0.436793,-0.242367,-0.346238,-0.181109,-0.162466,-0.300961,-0.348902,-0.303624,-0.042614,-0.266337,-0.135832,-0.101208,-0.018644,0.045277,0.149149,0.037287,0.037287,0.330258,0.372872,0.346238,0.538001,0.538001,0.514031,0.447447,0.788358,0.423476,0.423476,0.370209,0.066584,-0.021307,-0.266337,-0.050604,0.167792,-0.090555,-0.23704,-0.095881,0.063921,0.274327,0.071911,0.045277,0.114525,0.053267,0.029297,0.130505,-0.055931,-0.010653,-0.010653,0.005327,0.005327,-0.01598,-0.106535,-0.058594,Standing
-0.098545,-0.098545,-0.02397,-0.141159,-0.141159,0.058594,0.058594,0.042614,0.029297,-0.00799,-0.082565,-0.050604,-0.039951,-0.026634,-0.029297,0.061258,0.090555,0.125179,0.077238,0.010653,-0.061258,-0.103872,0.085228,0.034624,0,0.018644,0.090555,0.135832,0.157139,0.231713,0.218397,-0.005327,-0.055931,-0.071911,-0.101208,-0.125179,-0.066584,0.021307,0.018644,0.109198,0.109198,0.143822,-0.039951,-0.039951,-0.114525,-0.082565,-0.095881,-0.053267,-0.058594,0.058594,0.02397,0.018644,-0.061258,-0.029297,-0.050604,-0.010653,-0.149149,-0.127842,-0.151812,-0.071911,-0.005327,-0.042614,0.069248,0.085228,0.058594,-0.005327,-0.079901,-0.079901,-0.034624,-0.034624,0.021307,0.005327,0.03196,0.03196,0.095881,0.00799,-0.034624,-0.047941,-0.058594,-0.047941,0,-0.018644,-0.045277,-0.045277,-0.00799,-0.034624,-0.077238,-0.093218,-0.077238,-0.01598,0.010653,0.029297,0.069248,0.069248,-0.010653,-0.010653,-0.018644,-0.00799,-0.00799,0.01598,Standing
0.074574,0.074574,-0.157139,0.173119,0.242367,-0.399506,0.026634,-0.117188,-0.527348,-0.684487,-0.133169,-0.133169,-0.013317,0.20508,0.20508,-0.02397,0.133169,0.079901,0.066584,0.02397,0.029297,0.021307,-0.050604,-0.002663,0.029297,-0.095881,-0.013317,0,-0.034624,-0.026634,0.005327,-0.021307,0.00799,-0.055931,0,0.029297,0.00799,0.021307,0.061258,0.021307,0.010653,0.02397,-0.005327,0.047941,-0.03196,-0.00799,0.018644,-0.010653,-0.010653,-0.005327,-0.005327,0.00799,0.058594,0.005327,-0.005327,-0.01598,0.069248,0.066584,-0.01598,0.042614,-0.029297,-0.063921,-0.026634,0.03196,0.042614,0.005327,0.002663,-0.013317,0,-0.002663,0.074574,-0.03196,-0.03196,-0.053267,-0.005327,-0.029297,-0.029297,-0.063921,-0.063921,0,-0.01598,0.071911,0.063921,-0.002663,-0.053267,0.082565,0.066584,0.021307,0.058594,0.093218,0.029297,0.039951,0.02397,0,0.00799,0.021307,-0.002663,-0.00799,-0.074574,-0.018644,Standing
0.143822,0.143822,-2.018837,-0.745744,-1.134597,-0.809665,-0.00799,0.03196,0.308951,0.308951,0.551318,0.617902,0.617902,0.559308,-0.109198,-0.380862,-0.495387,-0.295634,-0.194426,0.053267,0.340912,0.4581,0.125179,0.46609,0.146486,-0.02397,-0.271664,-0.242367,-0.269001,0.143822,-0.045277,0.133169,0.282318,0.308951,0,0,-0.348902,-0.250357,-0.069248,-0.319605,0.042614,0.021307,0.029297,0.210406,0.189099,-0.255684,-0.455437,-0.404833,-0.079901,-0.20508,0.00799,0.22106,0.316941,0.516694,0.516694,-0.079901,-0.22106,-0.22106,-0.255684,-0.255684,-0.255684,0.026634,0.117188,0.119852,0.045277,0.002663,-0.01598,-0.037287,-0.01598,-0.01598,0.00799,0.026634,0.026634,0.034624,-0.010653,-0.010653,-0.010653,-0.037287,0.01598,0.013317,0,-0.00799,-0.01598,0.002663,-0.026634,-0.03196,-0.026634,-0.039951,-0.021307,0,0.042614,0.055931,0.055931,0.061258,0.077238,0.066584,-0.047941,-0.138495,-0.087891,-0.093218,Standing
-0.167792,-0.167792,0.170456,0.170456,-0.149149,-0.021307,-0.300961,0.018644,0.063921,0.143822,0.077238,-0.005327,0.231713,0.146486,0.053267,0.074574,-0.082565,-0.189099,-0.055931,0.042614,-0.029297,0.055931,0.074574,-0.018644,0.103872,0.082565,-0.010653,-0.130505,-0.045277,-0.095881,0.066584,0.135832,0.135832,0.226387,0.226387,0.098545,0.098545,-0.202416,-0.202416,-0.085228,-0.074574,-0.042614,0.00799,0.141159,0.19709,0.109198,-0.042614,-0.098545,-0.098545,-0.146486,-0.055931,-0.090555,0.22106,0.22905,0.247694,0.103872,-0.103872,-0.207743,-0.109198,-0.114525,-0.082565,0.021307,0.170456,0.170456,0.117188,-0.085228,-0.178446,-0.178446,-0.191763,-0.194426,-0.122515,-0.063921,0.034624,0.127842,0.263674,0.021307,-0.20508,-0.19709,0.005327,-0.133169,0.01598,0.117188,0.117188,0.210406,0.085228,0.053267,0.135832,-0.090555,-0.178446,0.050604,0.135832,0.135832,0.207743,0.207743,0.00799,-0.101208,-0.101208,-0.234377,-0.234377,0.02397,Standing
0.394179,0.394179,-0.037287,0.178446,0.231713,0.41815,0.149149,0.202416,-0.20508,0.010653,-0.194426,-0.047941,-0.186436,-0.170456,-0.170456,-0.175783,-0.045277,-0.045277,-0.063921,0.026634,0.055931,0.103872,0.074574,0.018644,0.055931,-0.005327,0.050604,0.037287,0.069248,0.02397,0.02397,0.039951,0.005327,0.00799,-0.053267,0.055931,0.03196,0.055931,0.026634,0.00799,0.00799,0.082565,0.03196,0.03196,0.018644,0.018644,-0.029297,-0.029297,-0.218397,-0.218397,-0.085228,-0.029297,-0.029297,0.029297,0.21307,-0.506041,0.106535,0.013317,0.050604,-0.058594,-0.111862,0.005327,0.00799,-0.045277,-0.074574,-0.029297,0.013317,-0.042614,-0.013317,0.047941,0.01598,0.082565,0.034624,-0.002663,-0.002663,0.039951,0.00799,-0.01598,0.018644,0.002663,-0.03196,0.02397,-0.021307,-0.021307,-0.010653,0.005327,0.03196,0.162466,0.074574,0.050604,0.018644,-0.039951,-0.103872,0.005327,-0.02397,0.202416,0.122515,0.055931,-0.162466,-0.173119,Standing
-0.066584,-0.066584,-3.630177,-1.60335,-1.403597,-0.173119,-0.090555,0.154476,0.740418,0.972131,0.444783,-0.021307,0.010653,-0.157139,-0.085228,0.159802,-0.029297,0.085228,0.22106,0.322268,0.159802,0.058594,0.23704,0.23704,0.047941,-0.575289,-0.380862,-0.01598,0.135832,0.735091,0.735091,-0.127842,-0.732428,-0.119852,0.359555,0.356892,0.034624,-0.25302,-0.375536,-0.530011,0.471417,0.785695,0.362219,0.103872,-0.061258,-0.154476,-0.226387,0.063921,0.117188,0.19709,0.19709,-0.045277,-0.045277,-0.19709,-0.098545,-0.098545,0.042614,-0.340912,-0.340912,-0.189099,0.071911,0.111862,-0.010653,0.037287,-0.079901,-0.234377,-0.03196,0.058594,0.090555,0.077238,0.055931,-0.013317,-0.063921,0,-0.058594,-0.058594,-0.010653,0.00799,0.00799,0.010653,0.010653,0.021307,0.002663,0.013317,0.013317,0.109198,0.178446,0.090555,0.111862,1.488825,0.607249,-0.817655,-0.058594,-0.055931,0.00799,-0.159802,0.00799,0.255684,0.026634,0.053267,Standing
